date;hour;value
07/02/2022;13;644
07/02/2022;14;581
07/02/2022;15;602
07/02/2022;16;652
07/02/2022;17;494
07/02/2022;18;609
07/02/2022;19;518
07/02/2022;20;379
07/02/2022;21;191
07/02/2022;22;106
07/02/2022;23;40
07/02/2022;24;14
08/02/2022;9;266
08/02/2022;10;836
08/02/2022;11;930
08/02/2022;12;990
08/02/2022;13;865
08/02/2022;14;599
08/02/2022;15;740
08/02/2022;16;767
08/02/2022;17;856
08/02/2022;18;746
08/02/2022;19;729
08/02/2022;20;588
08/02/2022;21;372
08/02/2022;22;183
08/02/2022;23;83
08/02/2022;24;24
09/02/2022;9;330
09/02/2022;10;742
09/02/2022;11;895
09/02/2022;12;855
09/02/2022;13;779
09/02/2022;14;606
09/02/2022;15;565
09/02/2022;16;662
09/02/2022;17;777
09/02/2022;18;750
09/02/2022;19;764
09/02/2022;20;507
09/02/2022;21;423
09/02/2022;22;240
09/02/2022;23;114
09/02/2022;24;38
10/02/2022;9;317
10/02/2022;10;822
10/02/2022;11;896
10/02/2022;12;837
10/02/2022;13;822
10/02/2022;14;640
10/02/2022;15;666
10/02/2022;16;576
10/02/2022;17;734
10/02/2022;18;736
10/02/2022;19;687
10/02/2022;20;607
10/02/2022;21;330
10/02/2022;22;155
10/02/2022;23;85
10/02/2022;24;27
11/02/2022;9;287
11/02/2022;10;765
11/02/2022;11;813
11/02/2022;12;725
11/02/2022;13;753
11/02/2022;14;639
11/02/2022;15;662
11/02/2022;16;648
11/02/2022;17;576
11/02/2022;18;710
11/02/2022;19;654
11/02/2022;20;453
11/02/2022;21;267
11/02/2022;22;148
11/02/2022;23;80
11/02/2022;24;24
12/02/2022;9;188
12/02/2022;10;428
12/02/2022;11;517
12/02/2022;12;531
12/02/2022;13;506
12/02/2022;14;361
12/02/2022;15;397
12/02/2022;16;353
12/02/2022;17;384
12/02/2022;18;321
12/02/2022;19;286
12/02/2022;20;278
12/02/2022;21;153
12/02/2022;22;55
12/02/2022;23;36
12/02/2022;24;13
13/02/2022;9;68
13/02/2022;10;124
13/02/2022;11;199
13/02/2022;12;221
13/02/2022;13;206
13/02/2022;14;140
13/02/2022;15;141
13/02/2022;16;174
13/02/2022;17;163
13/02/2022;18;175
13/02/2022;19;185
13/02/2022;20;176
13/02/2022;21;162
13/02/2022;22;128
13/02/2022;23;67
13/02/2022;24;18
14/02/2022;9;265
14/02/2022;10;740
14/02/2022;11;730
14/02/2022;12;842
14/02/2022;13;807
14/02/2022;14;627
14/02/2022;15;686
14/02/2022;16;584
14/02/2022;17;821
14/02/2022;18;727
14/02/2022;19;714
14/02/2022;20;480
14/02/2022;21;247
14/02/2022;22;135
14/02/2022;23;68
14/02/2022;24;16
15/02/2022;9;274
15/02/2022;10;738
15/02/2022;11;925
15/02/2022;12;544
15/02/2022;13;915
15/02/2022;14;577
15/02/2022;15;688
15/02/2022;16;640
15/02/2022;17;681
15/02/2022;18;728
15/02/2022;19;818
15/02/2022;20;493
15/02/2022;21;339
15/02/2022;22;154
15/02/2022;23;93
15/02/2022;24;35
16/02/2022;9;290
16/02/2022;10;797
16/02/2022;11;1.063
16/02/2022;12;856
16/02/2022;13;799
16/02/2022;14;629
16/02/2022;15;838
16/02/2022;16;935
16/02/2022;17;764
16/02/2022;18;708
16/02/2022;19;675
16/02/2022;20;456
16/02/2022;21;315
16/02/2022;22;181
16/02/2022;23;117
16/02/2022;24;39
17/02/2022;9;331
17/02/2022;10;774
17/02/2022;11;994
17/02/2022;12;964
17/02/2022;13;971
17/02/2022;14;817
17/02/2022;15;699
17/02/2022;16;767
17/02/2022;17;852
17/02/2022;18;798
17/02/2022;19;900
17/02/2022;20;589
17/02/2022;21;465
17/02/2022;22;195
17/02/2022;23;109
17/02/2022;24;49
18/02/2022;9;293
18/02/2022;10;993
18/02/2022;11;966
18/02/2022;12;1.014
18/02/2022;13;946
18/02/2022;14;735
18/02/2022;15;755
18/02/2022;16;640
18/02/2022;17;781
18/02/2022;18;790
18/02/2022;19;757
18/02/2022;20;529
18/02/2022;21;308
18/02/2022;22;125
18/02/2022;23;5
18/02/2022;24;1
19/02/2022;9;144
19/02/2022;10;403
19/02/2022;11;554
19/02/2022;12;454
19/02/2022;13;407
19/02/2022;14;229
19/02/2022;15;236
19/02/2022;16;272
19/02/2022;17;299
19/02/2022;18;347
19/02/2022;19;337
19/02/2022;20;220
19/02/2022;21;114
19/02/2022;22;58
19/02/2022;23;32
19/02/2022;24;9
20/02/2022;9;97
20/02/2022;10;181
20/02/2022;11;352
20/02/2022;12;284
20/02/2022;13;246
20/02/2022;14;149
20/02/2022;15;198
20/02/2022;16;164
20/02/2022;17;220
20/02/2022;18;193
20/02/2022;19;226
20/02/2022;20;194
20/02/2022;21;130
20/02/2022;22;90
20/02/2022;23;49
20/02/2022;24;13
21/02/2022;9;253
21/02/2022;10;834
21/02/2022;11;1.231
21/02/2022;12;1.400
21/02/2022;13;1.166
21/02/2022;14;953
21/02/2022;15;932
21/02/2022;16;1.037
21/02/2022;17;1.178
21/02/2022;18;1.048
21/02/2022;19;1.000
21/02/2022;20;637
21/02/2022;21;419
21/02/2022;22;173
21/02/2022;23;80
21/02/2022;24;16
22/02/2022;9;274
22/02/2022;10;1.079
22/02/2022;11;959
22/02/2022;12;1.019
22/02/2022;13;994
22/02/2022;14;714
22/02/2022;15;803
22/02/2022;16;660
22/02/2022;17;871
22/02/2022;18;928
22/02/2022;19;849
22/02/2022;20;614
22/02/2022;21;328
22/02/2022;22;146
22/02/2022;23;75
22/02/2022;24;19
23/02/2022;9;345
23/02/2022;10;786
